username,mall,stall,dish,timestamp
Darren,Elias Mall,Chicken Rice Stall,Roasted Chicken Rice,2025-04-24 17:30:23
Darren,Elias Mall,Duck Rice Stall,Duck Rice,2025-04-24 17:58:13
